"filename", "language", "XML", "C#", "Swift", "C++", "YAML", "Dart", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\Ivertion.Domain.Tests\Ivertion.Domain.Tests.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Projetos\weather-tracking\Api\Ivertion.Domain.Tests\UnitTest1.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\DeviceDTO.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\PersonDTO.cs", "C#", 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\WeatherAlertDTO.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\WeatherConditionDTO.cs", "C#", 0, 53, 0, 0, 0, 0, 0, 2, 55
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\WeatherForecastDTO.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 2, 37
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\WeatherNotificationDTO.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Projetos\weather-tracking\Api\iVertion.Domain.Testes\PersonUnitTest1.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Projetos\weather-tracking\Api\iVertion.Domain.Testes\Usings.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Projetos\weather-tracking\Api\iVertion.Domain.Testes\iVertion.Domain.Testes.csproj", "XML", 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\Address.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\City.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\Device.cs", "C#", 0, 67, 0, 0, 0, 0, 0, 9, 76
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\Person.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\WeatherAlert.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 3, 38
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\WeatherCondition.cs", "C#", 0, 51, 0, 0, 0, 0, 0, 3, 54
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\WeatherForecast.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\WeatherNotification.cs", "C#", 0, 83, 0, 0, 0, 0, 0, 5, 88
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\DeviceFilterDb.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\PersonFilterDb.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherAlertFilterDb.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherConditionFilterDb.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherForecastFilterDb.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherNotificationFilterDb.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IDeviceRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherAlertRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherConditionRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherForecastRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherNotificationRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\iVertion.Domain.csproj", "XML", -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Context\ApplicationDbContext.cs", "C#", 0, 5, 0, 0, 0, 0, 2, 2, 9
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\CityConfiguration.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\DeviceConfiguration.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\PersonConfiguration.cs", "C#", 0, 5, 0, 0, 0, 0, 0, -1, 4
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherAlertConfiguration.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherConditionConfiguration.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherForecastConfiguration.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherNotificationConfiguration.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\DeviceRepository.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 6, 42
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\PersonRepository.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 2
