"filename", "language", "XML", "JSON", "C#", "Swift", "YAML", "Properties", "Gradle", "C++", "HTML", "Dart", "Markdown", "Docker", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 7, 25
"c:\Projetos\weather-tracking\Api\Ivertion.Domain.Tests\Ivertion.Domain.Tests.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Projetos\weather-tracking\Api\Ivertion.Domain.Tests\UnitTest1.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Projetos\weather-tracking\Api\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 54, 147
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\AdditionalUserRoleDTO.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\AddressDTO.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\BaseDTO.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\BaseHistoryDTO.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\CityDTO.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\CountryDTO.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\DeviceDTO.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\PagedBaseResponseDTO.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\PersonAddressDTO.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\PersonDTO.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\RoleProfileDTO.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\StateDTO.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\TemporaryUserRoleDTO.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\UserProfileDTO.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\WeatherAlertDTO.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\WeatherConditionDTO.cs", "C#", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\WeatherForecastDTO.cs", "C#", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Projetos\weather-tracking\Api\iVertion.Application\DTOs\WeatherNotificationDTO.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\IAdditionalUserRoleService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\IAddressService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\ICityService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\ICountryService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\IPersonAddressService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\IPersonService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\IRoleProfileService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\IStateService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\ITemporaryUserRoleService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projetos\weather-tracking\Api\iVertion.Application\Interfaces\IUserProfileService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Projetos\weather-tracking\Api\iVertion.Application\Mappings\DomainToDTOMappingProfile.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\AdditionalUserRoleService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\AddressService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
